unit,site,block,name,plot,seed.total,seed.nassella,seed.bromus,seed.elymus,ntrt,dist,year,taxa,mass
24,HASTINGS ,A ,ROBERTSON HOUSE ,24,0,0,0,0,CONTROL ,0,2004,LUPINUS BICOLOR,0.3984
24,HASTINGS ,A ,ROBERTSON HOUSE ,24,0,0,0,0,CONTROL ,0,2005,TRIFOLIUM HIRTUM,1.1
24,HASTINGS ,A ,ROBERTSON HOUSE ,24,0,0,0,0,CONTROL ,0,2005,GILIA CLIVORUM,1.65
24,HASTINGS ,A ,ROBERTSON HOUSE ,24,0,0,0,0,CONTROL ,0,2006,BROMUS HORDEACEUS,11.67
24,HASTINGS ,A ,ROBERTSON HOUSE ,24,0,0,0,0,CONTROL ,0,2004,ERODIUM BOTRYS,19.16
24,HASTINGS ,A ,ROBERTSON HOUSE ,24,0,0,0,0,CONTROL ,0,2005,TRIFOLIUM MICROCEPHALUM,0.0552
24,HASTINGS ,A ,ROBERTSON HOUSE ,24,0,0,0,0,CONTROL ,0,2006,VULPIA MYUROS,0.0068
24,HASTINGS ,A ,ROBERTSON HOUSE ,24,0,0,0,0,CONTROL ,0,2004,LITTER,51.554001
24,HASTINGS ,A ,ROBERTSON HOUSE ,24,0,0,0,0,CONTROL ,0,2006,AIRA CARYOPHYLLEA,0.0332
24,HASTINGS ,A ,ROBERTSON HOUSE ,24,0,0,0,0,CONTROL ,0,2005,ERODIUM BOTRYS,34.169998
24,HASTINGS ,A ,ROBERTSON HOUSE ,24,0,0,0,0,CONTROL ,0,2005,CLARKIA PURPUREA,6.85
24,HASTINGS ,A ,ROBERTSON HOUSE ,24,0,0,0,0,CONTROL ,0,2006,CLARKIA PURPUREA,5.3
24,HASTINGS ,A ,ROBERTSON HOUSE ,24,0,0,0,0,CONTROL ,0,2005,AVENA BARBATA,23.620001
